id,station,x,y,docks,deployment_year
R32006,Revere City Hall,-71.0139,42.4074,11,2020
R32007,Revere Public Library,-71.0089,42.4081,11,2020
S32001,Somerville City Hall,-71.0981,42.3868,19,2012
S32002,Union Square - Somerville,-71.0953,42.3796,19,2012
S32003,Beacon St at Washington / Kirkland,-71.1057,42.3784,19,2012
S32004,Conway Park - Somerville Avenue,-71.1085,42.3836,23,2012
S32005,Wilson Square,-71.1141,42.3857,15,2012
S32006,Davis Square,-71.123,42.397,25,2012
S32007,Ball Sq,-71.1078,42.3984,19,2012
S32008,Powder House Circle - Nathan Tufts Park,-71.1168,42.4009,15,2012
S32009,Packard Ave at Powderhouse Blvd,-71.1234,42.4045,15,2013
S32010,Clarendon Hill at Broadway,-71.1324,42.4063,15,2013
S32011,Teele Square,-71.1267,42.4023,15,2013
S32013,Magoun Square at Trum Field,-71.1059,42.3978,19,2014
S32014,Broadway St at Mt Pleasant St,-71.0783,42.3861,19,2016
S32015,Foss Park,-71.0904,42.3911,15,2018
S32016,Broadway at Central St,-71.0985,42.3952,19,2018
S32017,East Somerville Library (Broadway and Illinois),-71.0832,42.3876,15,2018
S32018,Assembly Square T,-71.0775,42.3922,15,2018
S32019,Grove St at Community Path,-71.1201,42.3964,15,2018
S32020,Somerville Hospital,-71.1024,42.3968,15,2018
S32021,Washington St at Myrtle St,-71.0873,42.381,15,2018
S32022,Community Path at Cedar Street,-71.1113,42.3941,15,2018
S32023,30 Dane St,-71.104,42.381,15,2018
S32034,Perry Park,-71.1034,42.3793,19,2018
S32035,191 Beacon St,-71.1088,42.3803,19,2018
S32036,Somerville City Hall Annex,-71.0975,42.3919,15,2019
S32037,Craigie at Summer St,-71.1081,42.3835,19,2019
S32038,Edgerly Education Center,-71.0871,42.3872,15,2019
S32039,Elm St at White St,-71.1169,42.3895,19,2019
S32040,Community Path at Lowell St,-71.1056,42.3925,19,2020
S32041,Union Square East,-71.0901,42.3801,19,2020
S32047,Foley St at Grand Union Blvd,-71.0807,42.393,19,2021
S32048,Somerville High School & Central Library,-71.096,42.3864,17,2021
T32001,Salem Ferry Landing,-70.8807,42.5219,11,2021
T32002,Salem Willows Park,-70.8702,42.5347,15,2021
T32003,Shetland Park - Congress at Peabody St,-70.8895,42.5184,11,2021
T32004,Mayor Salvo Path at Mill St,-70.8957,42.518,11,2021
T32005,Salem MBTA - Washington at Federal St,-70.8961,42.5235,11,2021
T32006,Lafayette at Leach St,-70.8918,42.5114,11,2021
T32007,Salem State University - Bike Path at Loring Ave,-70.8948,42.5018,15,#N/A
V32001,7 Acre Park,-71.0682,42.4114,15,2019
V32002,NA,-71.0613,42.4041,15,pre-2017
